LogSource,ClassificationType,ClassificationName
API - AWS CloudTrail,Audit/Access Granted,Access Granted
API - AWS CloudTrail,Audit/Access Revoked,Access Revoked
API - AWS CloudTrail,Audit/Access Success,Access Success
API - AWS CloudTrail,Audit/Account Created,Account Created
API - AWS CloudTrail,Audit/Account Deleted,Account Deleted
API - AWS CloudTrail,Audit/Account Modified,Account Modified
API - AWS CloudTrail,Audit/Authentication Success,Authentication Success
API - AWS CloudTrail,Audit/Configuration,Configuration
API - AWS CloudTrail,Audit/Other,Other Audit
API - AWS CloudTrail,Audit/Other Audit Success,Other Audit Success
API - AWS CloudTrail,Audit/Policy,Policy
API - AWS CloudTrail,Audit/Startup and Shutdown,Startup and Shutdown
API - AWS CloudTrail,Ops/Information,Information
API - AWS CloudTrail,Ops/Network Traffic,Network Traffic
API - AWS CloudWatch Alarm,Audit/Access Success,Access Success
API - AWS CloudWatch Alarm,Audit/Configuration,Configuration
API - AWS CloudWatch Alarm,Ops/Information,Information
API - AWS CloudWatch Alarm,Ops/Warning,Warning
API - AWS Config Event,Audit/Configuration,Configuration
API - AWS Config Event,Ops/Information,Information
API - AWS S3 Flat File,Ops/Information,Information
API - AWS S3 Server Access Event,Audit/Access Success,Access Success
API - AWS S3 Server Access Event,Ops/Information,Information
API - BeyondTrust Retina Vulnerability Management,Audit/Startup and Shutdown,Startup and Shutdown
API - BeyondTrust Retina Vulnerability Management,Security/Malware,Malware
API - BeyondTrust Retina Vulnerability Management,Security/Vulnerability,Vulnerability
API - Box Event,Audit/Access Failure,Access Failure
API - Box Event,Audit/Access Granted,Access Granted
API - Box Event,Audit/Access Success,Access Success
API - Box Event,Audit/Account Created,Account Created
API - Box Event,Audit/Account Deleted,Account Deleted
API - Box Event,Audit/Authentication Failure,Authentication Failure
API - Box Event,Audit/Authentication Success,Authentication Success
API - Box Event,Audit/Other Audit Success,Other Audit Success
API - Box Event,Ops/Information,Information
API - Cisco IDS/IPS,Audit/Access Failure,Access Failure
API - Cisco IDS/IPS,Audit/Access Granted,Access Granted
API - Cisco IDS/IPS,Audit/Access Revoked,Access Revoked
API - Cisco IDS/IPS,Audit/Access Success,Access Success
API - Cisco IDS/IPS,Audit/Account Modified,Account Modified
API - Cisco IDS/IPS,Audit/Authentication Failure,Authentication Failure
API - Cisco IDS/IPS,Audit/Authentication Success,Authentication Success
API - Cisco IDS/IPS,Audit/Configuration,Configuration
API - Cisco IDS/IPS,Audit/Other,Other Audit
API - Cisco IDS/IPS,Audit/Other Audit Failure,Other Audit Failure
API - Cisco IDS/IPS,Audit/Other Audit Success,Other Audit Success
API - Cisco IDS/IPS,Audit/Startup and Shutdown,Startup and Shutdown
API - Cisco IDS/IPS,Ops/Critical,Critical
API - Cisco IDS/IPS,Ops/Error,Error
API - Cisco IDS/IPS,Ops/Information,Information
API - Cisco IDS/IPS,Ops/Network Allow,Network Allow
API - Cisco IDS/IPS,Ops/Network Deny,Network Deny
API - Cisco IDS/IPS,Ops/Network Traffic,Network Traffic
API - Cisco IDS/IPS,Ops/Other,Other Operations
API - Cisco IDS/IPS,Ops/Warning,Warning
API - Cisco IDS/IPS,Security/Activity,Activity
API - Cisco IDS/IPS,Security/Attack,Attack
API - Cisco IDS/IPS,Security/Compromise,Compromise
API - Cisco IDS/IPS,Security/Denial of Service,Denial Of Service
API - Cisco IDS/IPS,Security/Failed Malware,Failed Malware
API - Cisco IDS/IPS,Security/Malware,Malware
API - Cisco IDS/IPS,Security/Misuse,Misuse
API - Cisco IDS/IPS,Security/Other,Other Security
API - Cisco IDS/IPS,Security/Reconnaissance,Reconnaissance
API - Cisco IDS/IPS,Security/Suspicious,Suspicious
API - Cisco IDS/IPS,Security/Vulnerability,Vulnerability
API - Cradlepoint ECM,Audit/Access Revoked,Access Revoked
API - Cradlepoint ECM,Audit/Authentication Failure,Authentication Failure
API - Cradlepoint ECM,Audit/Authentication Success,Authentication Success
API - Cradlepoint ECM,Audit/Configuration,Configuration
API - Cradlepoint ECM,Audit/Other Audit Failure,Other Audit Failure
API - Cradlepoint ECM,Audit/Other Audit Success,Other Audit Success
API - Cradlepoint ECM,Ops/Error,Error
API - Cradlepoint ECM,Ops/Information,Information
API - Cradlepoint ECM,Ops/Network Traffic,Network Traffic
API - Cradlepoint ECM,Ops/Warning,Warning
API - Cradlepoint ECM,Security/Attack,Attack
API - IP360 Vulnerability Scanner,Security/Other,Other Security
API - Metasploit Penetration Scanner,Security/Activity,Activity
API - Metasploit Penetration Scanner,Security/Compromise,Compromise
API - Metasploit Penetration Scanner,Security/Vulnerability,Vulnerability
API - Nessus Vulnerability Scanner,Security/Reconnaissance,Reconnaissance
API - Nessus Vulnerability Scanner,Security/Vulnerability,Vulnerability
API - NetApp CIFS Security Audit Event Log,Audit/Access Failure,Access Failure
API - NetApp CIFS Security Audit Event Log,Audit/Access Granted,Access Granted
API - NetApp CIFS Security Audit Event Log,Audit/Access Revoked,Access Revoked
API - NetApp CIFS Security Audit Event Log,Audit/Access Success,Access Success
API - NetApp CIFS Security Audit Event Log,Audit/Account Created,Account Created
API - NetApp CIFS Security Audit Event Log,Audit/Account Deleted,Account Deleted
API - NetApp CIFS Security Audit Event Log,Audit/Account Modified,Account Modified
API - NetApp CIFS Security Audit Event Log,Audit/Authentication Failure,Authentication Failure
API - NetApp CIFS Security Audit Event Log,Audit/Authentication Success,Authentication Success
API - NetApp CIFS Security Audit Event Log,Audit/Configuration,Configuration
API - NetApp CIFS Security Audit Event Log,Audit/Other,Other Audit
API - NetApp CIFS Security Audit Event Log,Audit/Other Audit Failure,Other Audit Failure
API - NetApp CIFS Security Audit Event Log,Audit/Other Audit Success,Other Audit Success
API - NetApp CIFS Security Audit Event Log,Audit/Policy,Policy
API - NetApp CIFS Security Audit Event Log,Audit/Startup and Shutdown,Startup and Shutdown
API - NetApp CIFS Security Audit Event Log,Ops/Error,Error
API - NetApp CIFS Security Audit Event Log,Ops/Information,Information
API - NetApp CIFS Security Audit Event Log,Ops/Warning,Warning
API - NeXpose Vulnerability Scanner,Ops/Information,Information
API - NeXpose Vulnerability Scanner,Security/Reconnaissance,Reconnaissance
API - NeXpose Vulnerability Scanner,Security/Vulnerability,Vulnerability
API - Office 365 Management Activity,Audit/Access Granted,Access Granted
API - Office 365 Management Activity,Audit/Access Revoked,Access Revoked
API - Office 365 Management Activity,Audit/Access Success,Access Success
API - Office 365 Management Activity,Audit/Account Created,Account Created
API - Office 365 Management Activity,Audit/Account Deleted,Account Deleted
API - Office 365 Management Activity,Audit/Account Modified,Account Modified
API - Office 365 Management Activity,Audit/Authentication Failure,Authentication Failure
API - Office 365 Management Activity,Audit/Authentication Success,Authentication Success
API - Office 365 Management Activity,Audit/Configuration,Configuration
API - Office 365 Management Activity,Audit/Other,Other Audit
API - Office 365 Management Activity,Audit/Other Audit Failure,Other Audit Failure
API - Office 365 Management Activity,Audit/Other Audit Success,Other Audit Success
API - Office 365 Management Activity,Audit/Policy,Policy
API - Office 365 Management Activity,Ops/Information,Information
API - Office 365 Management Activity,Ops/Warning,Warning
API - Office 365 Management Activity,Security/Activity,Activity
API - Office 365 Message Tracking,Ops/Information,Information
API - Okta Event,Audit/Access Failure,Access Failure
API - Okta Event,Audit/Access Granted,Access Granted
API - Okta Event,Audit/Access Success,Access Success
API - Okta Event,Audit/Account Created,Account Created
API - Okta Event,Audit/Account Modified,Account Modified
API - Okta Event,Audit/Authentication Failure,Authentication Failure
API - Okta Event,Audit/Authentication Success,Authentication Success
API - Okta Event,Audit/Configuration,Configuration
API - Okta Event,Audit/Policy,Policy
API - Okta Event,Ops/Critical,Critical
API - Okta Event,Ops/Information,Information
API - Okta Event,Ops/Network Traffic,Network Traffic
API - Okta Event,Ops/Other,Other Operations
API - Okta Event,Security/Attack,Attack
API - Okta Event,Security/Other,Other Security
API - Qualys Vulnerability Scanner,Security/Reconnaissance,Reconnaissance
API - Qualys Vulnerability Scanner,Security/Vulnerability,Vulnerability
API - Salesforce EventLogFile,Audit/Access Success,Access Success
API - Salesforce EventLogFile,Audit/Authentication Success,Authentication Success
API - Salesforce EventLogFile,Ops/Information,Information
API - Sourcefire eStreamer,Audit/Access Failure,Access Failure
API - Sourcefire eStreamer,Audit/Access Success,Access Success
API - Sourcefire eStreamer,Audit/Authentication Failure,Authentication Failure
API - Sourcefire eStreamer,Audit/Authentication Success,Authentication Success
API - Sourcefire eStreamer,Audit/Configuration,Configuration
API - Sourcefire eStreamer,Audit/Other,Other Audit
API - Sourcefire eStreamer,Audit/Other Audit Success,Other Audit Success
API - Sourcefire eStreamer,Ops/Critical,Critical
API - Sourcefire eStreamer,Ops/Error,Error
API - Sourcefire eStreamer,Ops/Information,Information
API - Sourcefire eStreamer,Ops/Network Traffic,Network Traffic
API - Sourcefire eStreamer,Ops/Warning,Warning
API - Sourcefire eStreamer,Security/Activity,Activity
API - Sourcefire eStreamer,Security/Attack,Attack
API - Sourcefire eStreamer,Security/Compromise,Compromise
API - Sourcefire eStreamer,Security/Denial of Service,Denial Of Service
API - Sourcefire eStreamer,Security/Failed Activity,Failed Activity
API - Sourcefire eStreamer,Security/Failed Attack,Failed Attack
API - Sourcefire eStreamer,Security/Failed Malware,Failed Malware
API - Sourcefire eStreamer,Security/Malware,Malware
API - Sourcefire eStreamer,Security/Misuse,Misuse
API - Sourcefire eStreamer,Security/Other,Other Security
API - Sourcefire eStreamer,Security/Reconnaissance,Reconnaissance
API - Sourcefire eStreamer,Security/Suspicious,Suspicious
API - Sourcefire eStreamer,Security/Vulnerability,Vulnerability
API - Tenable Security Center,Ops/Information,Information
API - Tenable Security Center,Security/Activity,Activity
API - Tenable Security Center,Security/Reconnaissance,Reconnaissance
API - Tenable Security Center,Security/Vulnerability,Vulnerability
API - Tenable.io Scanner,Ops/Information,Information
API - Tenable.io Scanner,Security/Activity,Activity
API - Tenable.io Scanner,Security/Reconnaissance,Reconnaissance
API - Tenable.io Scanner,Security/Vulnerability,Vulnerability
BETA : Syslog - Fortinet FortiGate v5.6,Audit/Other Audit Success,Other Audit Success
BETA : Syslog - Fortinet FortiGate v5.6,Ops/Critical,Critical
BETA : Syslog - Fortinet FortiGate v5.6,Ops/Information,Information
BETA : Syslog - Fortinet FortiGate v5.6,Ops/Network Allow,Network Allow
BETA : Syslog - Fortinet FortiGate v5.6,Ops/Network Deny,Network Deny
BETA : Syslog - Fortinet FortiGate v5.6,Ops/Network Traffic,Network Traffic
BETA : Syslog - Fortinet FortiGate v5.6,Ops/Warning,Warning
BETA : Syslog - Fortinet FortiGate v5.6,Security/Activity,Activity
BETA : Syslog - Fortinet FortiGate v5.6,Security/Attack,Attack
BETA : Syslog - Fortinet FortiGate v5.6,Security/Failed Activity,Failed Activity
BETA : Syslog - Fortinet FortiGate v5.6,Security/Failed Attack,Failed Attack
BETA : Syslog - Fortinet FortiGate v5.6,Security/Failed Malware,Failed Malware
Flat File - ActivIdentity CMS,Audit/Access Success,Access Success
Flat File - ActivIdentity CMS,Audit/Account Modified,Account Modified
Flat File - ActivIdentity CMS,Audit/Configuration,Configuration
Flat File - ActivIdentity CMS,Audit/Other Audit Success,Other Audit Success
Flat File - ActivIdentity CMS,Ops/Information,Information
Flat File - ActivIdentity CMS,Ops/Network Traffic,Network Traffic
Flat File - ActivIdentity CMS,Ops/Other,Other Operations
Flat File - ActivIdentity CMS,Ops/Warning,Warning
Flat File - ActivIdentity CMS,Security/Activity,Activity
Flat File - Airwatch MDM,Audit/Access Success,Access Success
Flat File - Airwatch MDM,Audit/Configuration,Configuration
Flat File - Airwatch MDM,Audit/Other,Other Audit
Flat File - Airwatch MDM,Audit/Other Audit Success,Other Audit Success
Flat File - Airwatch MDM,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Airwatch MDM,Ops/Critical,Critical
Flat File - Airwatch MDM,Ops/Error,Error
Flat File - Airwatch MDM,Ops/Information,Information
Flat File - Airwatch MDM,Ops/Network Deny,Network Deny
Flat File - Airwatch MDM,Ops/Warning,Warning
Flat File - Alfresco,Ops/Critical,Critical
Flat File - Alfresco,Ops/Error,Error
Flat File - Alfresco,Ops/Information,Information
Flat File - Alfresco,Ops/Warning,Warning
Flat File - Apache Access Log,Ops/Error,Error
Flat File - Apache Access Log,Ops/Information,Information
Flat File - Apache Access Log,Security/Misuse,Misuse
Flat File - Apache Error Log,Audit/Access Failure,Access Failure
Flat File - Apache Error Log,Audit/Configuration,Configuration
Flat File - Apache Error Log,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Apache Error Log,Ops/Critical,Critical
Flat File - Apache Error Log,Ops/Error,Error
Flat File - Apache Error Log,Ops/Information,Information
Flat File - Apache Error Log,Ops/Warning,Warning
Flat File - Apache Error Log,Security/Suspicious,Suspicious
Flat File - Apache SSL Access Log,Ops/Error,Error
Flat File - Apache SSL Access Log,Ops/Information,Information
Flat File - Apache SSL Access Log,Security/Misuse,Misuse
Flat File - Apache SSL Error Log,Audit/Access Failure,Access Failure
Flat File - Apache SSL Error Log,Audit/Authentication Failure,Authentication Failure
Flat File - Apache SSL Error Log,Ops/Error,Error
Flat File - Apache SSL Error Log,Ops/Information,Information
Flat File - Apache SSL Error Log,Ops/Warning,Warning
Flat File - Apache SSL Error Log,Security/Suspicious,Suspicious
Flat File - Apache Tomcat Access Log,Ops/Error,Error
Flat File - Apache Tomcat Access Log,Ops/Information,Information
Flat File - Apache Tomcat Access Log,Security/Misuse,Misuse
Flat File - Apache Tomcat Console Log,Audit/Access Success,Access Success
Flat File - Apache Tomcat Console Log,Audit/Configuration,Configuration
Flat File - Apache Tomcat Console Log,Audit/Other Audit Success,Other Audit Success
Flat File - Apache Tomcat Console Log,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Apache Tomcat Console Log,Ops/Critical,Critical
Flat File - Apache Tomcat Console Log,Ops/Error,Error
Flat File - Apache Tomcat Console Log,Ops/Information,Information
Flat File - Apache Tomcat Console Log,Ops/Network Traffic,Network Traffic
Flat File - Apache Tomcat Console Log,Ops/Warning,Warning
Flat File - Avaya Secure Access Link Remote Access Log,Audit/Configuration,Configuration
Flat File - Avaya Secure Access Link Remote Access Log,Audit/Other Audit Success,Other Audit Success
Flat File - Avaya Secure Access Link Remote Access Log,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Avaya Secure Access Link Remote Access Log,Ops/Error,Error
Flat File - Avaya Secure Access Link Remote Access Log,Ops/Information,Information
Flat File - Avaya Secure Access Link Remote Access Log,Ops/Network Deny,Network Deny
Flat File - Avaya Secure Access Link Remote Access Log,Ops/Network Traffic,Network Traffic
Flat File - Avaya Secure Access Link Remote Access Log,Ops/Other,Other Operations
Flat File - Avaya Secure Access Link Remote Access Log,Ops/Warning,Warning
Flat File - Avaya Secure Access Link Remote Access Log,Security/Misuse,Misuse
Flat File - Avaya Voice Mail Log,Audit/Access Success,Access Success
Flat File - Avaya Voice Mail Log,Audit/Account Modified,Account Modified
Flat File - Avaya Voice Mail Log,Audit/Other,Other Audit
Flat File - Avaya Voice Mail Log,Ops/Information,Information
Flat File - Avaya Voice Mail Log,Ops/Warning,Warning
Flat File - Avaya Voice Mail Log,Security/Suspicious,Suspicious
Flat File - Axway SFTP,Audit/Authentication Success,Authentication Success
Flat File - Axway SFTP,Audit/Other Audit Success,Other Audit Success
Flat File - Axway SFTP,Ops/Information,Information
Flat File - Beacon Endpoint Profiler,Audit/Authentication Success,Authentication Success
Flat File - Beacon Endpoint Profiler,Ops/Information,Information
Flat File - Beacon Endpoint Profiler,Security/Suspicious,Suspicious
Flat File - Bind 9,Audit/Access Failure,Access Failure
Flat File - Bind 9,Audit/Other Audit Success,Other Audit Success
Flat File - Bind 9,Ops/Critical,Critical
Flat File - Bind 9,Ops/Error,Error
Flat File - Bind 9,Ops/Information,Information
Flat File - Bind 9,Ops/Network Traffic,Network Traffic
Flat File - Bind 9,Ops/Warning,Warning
Flat File - BlackBerry Enterprise Server,Audit/Access Failure,Access Failure
Flat File - BlackBerry Enterprise Server,Audit/Access Success,Access Success
Flat File - BlackBerry Enterprise Server,Audit/Account Modified,Account Modified
Flat File - BlackBerry Enterprise Server,Audit/Authentication Failure,Authentication Failure
Flat File - BlackBerry Enterprise Server,Audit/Authentication Success,Authentication Success
Flat File - BlackBerry Enterprise Server,Audit/Configuration,Configuration
Flat File - BlackBerry Enterprise Server,Audit/Other,Other Audit
Flat File - BlackBerry Enterprise Server,Audit/Other Audit Success,Other Audit Success
Flat File - BlackBerry Enterprise Server,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - BlackBerry Enterprise Server,Ops/Error,Error
Flat File - BlackBerry Enterprise Server,Ops/Information,Information
Flat File - BlackBerry Enterprise Server,Ops/Network Deny,Network Deny
Flat File - BlackBerry Enterprise Server,Ops/Network Traffic,Network Traffic
Flat File - BlackBerry Enterprise Server,Ops/Other,Other Operations
Flat File - BlackBerry Enterprise Server,Ops/Warning,Warning
Flat File - BlackBerry Enterprise Server,Security/Suspicious,Suspicious
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Audit/Other Audit Success,Other Audit Success
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Ops/Error,Error
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Ops/Information,Information
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Ops/Network Traffic,Network Traffic
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Ops/Other,Other Operations
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Activity,Activity
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Attack,Attack
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Failed Attack,Failed Attack
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Failed Malware,Failed Malware
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Failed Misuse,Failed Misuse
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Failed Suspicious,Failed Suspicious
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Malware,Malware
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Misuse,Misuse
Flat File - Blue Coat Proxy BCREPORTERMAIN Format,Security/Suspicious,Suspicious
Flat File - Blue Coat Proxy CSV Format,Ops/Other,Other Operations
Flat File - Blue Coat Proxy CSV Format,Security/Attack,Attack
Flat File - Blue Coat Proxy CSV Format,Security/Failed Attack,Failed Attack
Flat File - Blue Coat Proxy CSV Format,Security/Failed Malware,Failed Malware
Flat File - Blue Coat Proxy CSV Format,Security/Failed Misuse,Failed Misuse
Flat File - Blue Coat Proxy CSV Format,Security/Malware,Malware
Flat File - Blue Coat Proxy CSV Format,Security/Misuse,Misuse
Flat File - Blue Coat Proxy CSV Format,Security/Suspicious,Suspicious
Flat File - Blue Coat Proxy SQUID-1 Format,Ops/Error,Error
Flat File - Blue Coat Proxy SQUID-1 Format,Ops/Information,Information
Flat File - Blue Coat Proxy SQUID-1 Format,Ops/Other,Other Operations
Flat File - Blue Coat Proxy SQUID-1 Format,Security/Failed Attack,Failed Attack
Flat File - Blue Coat Proxy SQUID-1 Format,Security/Failed Malware,Failed Malware
Flat File - Blue Coat Proxy SQUID-1 Format,Security/Failed Misuse,Failed Misuse
Flat File - Blue Coat Proxy SQUID-1 Format,Security/Malware,Malware
Flat File - Blue Coat Proxy SQUID-1 Format,Security/Misuse,Misuse
Flat File - Blue Coat Proxy W3C Format,Ops/Error,Error
Flat File - Blue Coat Proxy W3C Format,Ops/Information,Information
Flat File - Blue Coat Proxy W3C Format,Ops/Other,Other Operations
Flat File - Blue Coat Proxy W3C Format,Security/Attack,Attack
Flat File - Blue Coat Proxy W3C Format,Security/Failed Attack,Failed Attack
Flat File - Blue Coat Proxy W3C Format,Security/Failed Malware,Failed Malware
Flat File - Blue Coat Proxy W3C Format,Security/Failed Misuse,Failed Misuse
Flat File - Blue Coat Proxy W3C Format,Security/Malware,Malware
Flat File - Blue Coat Proxy W3C Format,Security/Misuse,Misuse
Flat File - Blue Coat Proxy W3C Format,Security/Suspicious,Suspicious
Flat File - Bro IDS Critical Stack Intel Log,Security/Activity,Activity
Flat File - CA ACF2 for z/OS - ACFRPTDS,Audit/Access Failure,Access Failure
Flat File - CA ACF2 for z/OS - ACFRPTDS,Audit/Authentication Success,Authentication Success
Flat File - CA ACF2 for z/OS - ACFRPTDS,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTDS,Ops/Warning,Warning
Flat File - CA ACF2 for z/OS - ACFRPTEL,Audit/Access Success,Access Success
Flat File - CA ACF2 for z/OS - ACFRPTEL,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTJL,Audit/Access Success,Access Success
Flat File - CA ACF2 for z/OS - ACFRPTJL,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTLL,Audit/Account Created,Account Created
Flat File - CA ACF2 for z/OS - ACFRPTLL,Audit/Account Deleted,Account Deleted
Flat File - CA ACF2 for z/OS - ACFRPTLL,Audit/Account Modified,Account Modified
Flat File - CA ACF2 for z/OS - ACFRPTLL,Audit/Other,Other Audit
Flat File - CA ACF2 for z/OS - ACFRPTLL,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTNV,Audit/Access Failure,Access Failure
Flat File - CA ACF2 for z/OS - ACFRPTNV,Audit/Access Success,Access Success
Flat File - CA ACF2 for z/OS - ACFRPTNV,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTOM,Audit/Access Failure,Access Failure
Flat File - CA ACF2 for z/OS - ACFRPTOM,Audit/Access Success,Access Success
Flat File - CA ACF2 for z/OS - ACFRPTOM,Ops/Error,Error
Flat File - CA ACF2 for z/OS - ACFRPTOM,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTPW,Audit/Access Revoked,Access Revoked
Flat File - CA ACF2 for z/OS - ACFRPTPW,Audit/Authentication Failure,Authentication Failure
Flat File - CA ACF2 for z/OS - ACFRPTPW,Audit/Authentication Success,Authentication Success
Flat File - CA ACF2 for z/OS - ACFRPTPW,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTRL,Audit/Access Success,Access Success
Flat File - CA ACF2 for z/OS - ACFRPTRL,Ops/Information,Information
Flat File - CA ACF2 for z/OS - ACFRPTRV,Audit/Access Success,Access Success
Flat File - CA ACF2 for z/OS - ACFRPTRV,Audit/Authentication Success,Authentication Success
Flat File - CA ACF2 for z/OS - ACFRPTRV,Ops/Error,Error
Flat File - CA ACF2 for z/OS - ACFRPTRV,Ops/Information,Information
Flat File - CA ControlMinder,Audit/Access Success,Access Success
Flat File - CA ControlMinder,Audit/Account Modified,Account Modified
Flat File - CA ControlMinder,Audit/Authentication Success,Authentication Success
Flat File - CA ControlMinder,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - CA ControlMinder,Ops/Information,Information
Flat File - CA ControlMinder,Security/Activity,Activity
Flat File - Cerberus FTP Server,Audit/Access Success,Access Success
Flat File - Cerberus FTP Server,Audit/Account Modified,Account Modified
Flat File - Cerberus FTP Server,Audit/Authentication Failure,Authentication Failure
Flat File - Cerberus FTP Server,Audit/Authentication Success,Authentication Success
Flat File - Cerberus FTP Server,Audit/Other,Other Audit
Flat File - Cerberus FTP Server,Audit/Other Audit Success,Other Audit Success
Flat File - Cerberus FTP Server,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Cerberus FTP Server,Ops/Error,Error
Flat File - Cerberus FTP Server,Ops/Information,Information
Flat File - Cerberus FTP Server,Ops/Network Deny,Network Deny
Flat File - Cerberus FTP Server,Ops/Network Traffic,Network Traffic
Flat File - Cerberus FTP Server,Ops/Warning,Warning
Flat File - Cerberus FTP Server,Security/Activity,Activity
Flat File - Cerner,Ops/Information,Information
Flat File - Cisco Email Security Appliance,Audit/Access Failure,Access Failure
Flat File - Cisco Email Security Appliance,Audit/Access Success,Access Success
Flat File - Cisco Email Security Appliance,Audit/Authentication Failure,Authentication Failure
Flat File - Cisco Email Security Appliance,Audit/Authentication Success,Authentication Success
Flat File - Cisco Email Security Appliance,Audit/Configuration,Configuration
Flat File - Cisco Email Security Appliance,Audit/Other,Other Audit
Flat File - Cisco Email Security Appliance,Audit/Other Audit Success,Other Audit Success
Flat File - Cisco Email Security Appliance,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Cisco Email Security Appliance,Ops/Critical,Critical
Flat File - Cisco Email Security Appliance,Ops/Error,Error
Flat File - Cisco Email Security Appliance,Ops/Information,Information
Flat File - Cisco Email Security Appliance,Ops/Network Traffic,Network Traffic
Flat File - Cisco Email Security Appliance,Ops/Other,Other Operations
Flat File - Cisco Email Security Appliance,Ops/Warning,Warning
Flat File - Cisco Email Security Appliance,Security/Attack,Attack
Flat File - Cisco Email Security Appliance,Security/Failed Activity,Failed Activity
Flat File - Cisco Email Security Appliance,Security/Suspicious,Suspicious
Flat File - Cisco LMS (cwcli),Audit/Access Success,Access Success
Flat File - Cisco LMS (cwcli),Audit/Configuration,Configuration
Flat File - Cisco LMS (cwcli),Audit/Other,Other Audit
Flat File - Cisco LMS (cwcli),Ops/Information,Information
Flat File - Cisco LMS (Syslog),Audit/Access Failure,Access Failure
Flat File - Cisco LMS (Syslog),Audit/Access Granted,Access Granted
Flat File - Cisco LMS (Syslog),Audit/Authentication Failure,Authentication Failure
Flat File - Cisco LMS (Syslog),Audit/Authentication Success,Authentication Success
Flat File - Cisco LMS (Syslog),Audit/Configuration,Configuration
Flat File - Cisco LMS (Syslog),Audit/Other Audit Success,Other Audit Success
Flat File - Cisco LMS (Syslog),Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Cisco LMS (Syslog),Ops/Error,Error
Flat File - Cisco LMS (Syslog),Ops/Information,Information
Flat File - Cisco LMS (Syslog),Ops/Network Traffic,Network Traffic
Flat File - Cisco LMS (Syslog),Ops/Other,Other Operations
Flat File - Cisco LMS (Syslog),Ops/Warning,Warning
Flat File - Cisco NGFW,Ops/Error,Error
Flat File - Cisco NGFW,Ops/Information,Information
Flat File - Cisco NGFW,Ops/Network Deny,Network Deny
Flat File - Cisco NGFW,Ops/Network Traffic,Network Traffic
Flat File - Cisco Secure ACS CSV File,Audit/Access Failure,Access Failure
Flat File - Cisco Secure ACS CSV File,Audit/Access Success,Access Success
Flat File - Cisco Secure ACS CSV File,Audit/Authentication Failure,Authentication Failure
Flat File - Cisco Secure ACS CSV File,Audit/Authentication Success,Authentication Success
Flat File - Cisco Secure ACS CSV File,Audit/Configuration,Configuration
Flat File - Cisco Secure ACS CSV File,Audit/Other Audit Success,Other Audit Success
Flat File - Cisco Secure ACS CSV File,Audit/Startup and Shutdown,Startup and Shutdown
Flat File - Cisco Secure ACS CSV File,Ops/Information,Information
Flat File - Cisco Secure ACS CSV File,Ops/Network Allow,Network Allow
Flat File - Cisco Secure ACS CSV File,Ops/Network Deny,Network Deny
Flat File - Cisco Security Agent,Audit/Access Failure,Access Failure
Flat File - Cisco Security Agent,Audit/Access Success,Access Success
Flat File - Cisco Security Agent,Ops/Error,Error
Flat File - Cisco Security Agent,Ops/Information,Information
Flat File - Cisco Security Agent,Ops/Warning,Warning
Flat File - Cisco Security Agent,Security/Other,Other Security
Flat File - Cisco Umbrella,Ops/Information,Information
Flat File - Cisco Umbrella,Ops/Network Traffic,Network Traffic
Flat File - Cisco Web Security aclog,Ops/Information,Information
Flat File - Cisco Web Security aclog,Security/Failed Misuse,Failed Misuse
Flat File - Cisco Web Security aclog,Security/Malware,Malware
Flat File - Cisco Web Security aclog,Security/Suspicious,Suspicious
Flat File - Citrix Access Gateway IIS Format,Ops/Error,Error
Flat File - Citrix Access Gateway IIS Format,Ops/Information,Information
Flat File - Citrix Access Gateway IIS Format,Security/Misuse,Misuse
